ar;kod;namn;kommunvalkrets_kod;kommunvalkrets;lokal;adress1;adress2;adress3;postort;tillganglighet;status;x_rt90;y_rt90;latitud;longitud;koord_kalla;valdag;dag;oppetpass;aktiv_rd;aktiv_rf;aktiv_kf;aktiv_eu;valdag_eu;kommun_klar;lokal_klar;valnamnd;hemsida;telnr;kalla_fil
2014;14801107;Centrum, Mossen;148003;Göteborg, Centrum;Förtroenderådets saml.lokal;Se skyltning!;Gibraltargatan 78;;;;E;6401780;1272677;57.683333;11.993329;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801108;Centrum, Olofshöjd;148003;Göteborg, Centrum;Framnäsgården;Restaurangen;Glasmästaregatan 6A;;;;E;6401803;1272546;57.683473;11.991117;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801111;Centrum, Eklanda;148003;Göteborg, Centrum;Johannebergsskolan;Gymnastiksalen;Olof Rudbecksgatan 4;;;;E;6402614;1272196;57.690562;11.984497;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801112;Centrum, Johanneberg, Nedre;148003;Göteborg, Centrum;Hvitfeldtska gymnasiet;Matsalen;Rektorsgatan 2;;;;E;6403251;1271627;57.695981;11.974375;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801113;Centrum, Johanneberg, Södra;148003;Göteborg, Centrum;Johannebergsskolan;Matsalen;Olof Rudbecksgatan 4;;;;E;6402623;1272193;57.690641;11.984438;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801114;Centrum, Johanneberg, Övre;148003;Göteborg, Centrum;Johannebergsskolan;Matsalen;Olof Rudbecksgatan 4;;;;E;6402614;1272198;57.690563;11.984530;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801121;Centrum, Landala;148003;Göteborg, Centrum;Hvitfeldtska gymnasiet;Matsalen;Rektorsgatan 2;;;;E;6403251;1271627;57.695981;11.974375;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801122;Centrum, Landalabergen m fl;148003;Göteborg, Centrum;Landalaskolan;Klassrum 6;Södra Viktoriagatan 48-52;;;;E;6403008;1271182;57.693578;11.967160;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801123;Centrum, Landalagången m fl;148003;Göteborg, Centrum;Landalahus, dagcentralen;Kajutan;Aschebergsgatan 49;;;;E;6402895;1271526;57.692740;11.973022;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801131;Centrum, Doktor Forselius gata m fl;148003;Göteborg, Centrum;Guldhedsskolan;Sal B 202;Dr Heymans gata 1;;;;E;6402283;1271279;57.687132;11.969470;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801132;Centrum, Guldheden vattentornet;148003;Göteborg, Centrum;Mossebergsskolan;Sal 202;Doktor Håléns gata 9;;;;E;6401686;1271442;57.681866;11.972762;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
