ar;lokal;adress;antal_distrikt;koder;distriktnamn;latitud;longitud;antal_koordinater
2014;Svartedalsskolan;Svartedalsgatan 4;3;14807091 14807092 14807093;Västra Hisingen, Jättesten | Västra Hisingen, Kärrmossen | Västra Hisingen, Svartedalen;57.732853;11.900522;1
2014;Taklöksvägens förskola;Taklöksvägen 1;1;14804031;Lundby, Hilldedal;57.730839;11.938207;1
2014;Taubeskolan;Astris gata 5;3;14804161 14804162 14804164;Lundby, Eriksberg Sjöporten | Lundby, Eriksberg, Västra | Lundby, Pölsebo-Bratterås;57.699053;11.901765;1
2014;Toleredsskolan;Vinlandsgatan 1;3;14804021 14804032 14804042;Lundby, Bjurslätt | Lundby, Slätta Damm | Lundby, Tolered, Norra;57.731458;11.919709;2
2014;Torpaskolan;Billerudgatan 1-3;1;14802105;Örgryte-Härlanda, Munkebäck, Norra;57.725331;12.036800;1
2014;Torpaskolan;Billerudsgatan 1-3;2;14802111 14802112;Örgryte-Härlanda, Fräntorp | Örgryte-Härlanda, Torpa;57.725331;12.036800;2
2014;Torslandaskolan;Hembygdsgatan 2;2;14807052 14807054;Västra Hisingen, Domarringen m fl | Västra Hisingen, Torslanda;57.727066;11.771158;1
2014;Traktören;Köpmansgatan 20;2;14801161 14801162;Centrum, Inom Vallgraven | Centrum, Nordstan-Otterhällan;57.707141;11.964816;2
2014;Tretjärnsskolan;Kummingatan 126;1;14806011;Angered, Lövgärdet, Nedre;57.811854;12.043559;1
2014;Trollängsskolan;Solgärdesvägen;2;14805231 14805232;Askim-Frölunda-Högsbo, Askim | Askim-Frölunda-Högsbo, Hovås, Norra;57.632436;11.938904;1
2014;Trulsegårdsskolan;Emelie Lejmans väg 4;3;14807061 14807062 14807063;Västra Hisingen, Björlanda | Västra Hisingen, Kvisljungeby | Västra Hisingen, Lilleby;57.749633;11.832979;3
2014;Tynnereds kulturhus;Grevegårdsvägen 198;1;14805222;Västra Göteborg, Opaltorget, Södra;57.642325;11.899553;1
2014;Tynneredsskolan;Safirgatan 14;2;14805181 14805182;Västra Göteborg, Korsåsen | Västra Göteborg, Ängås;57.645006;11.904578;1
2014;Tångenskolan;Tångenvägen 11;1;14804055;Norra Hisingen, Tången;57.759860;11.932934;1
2014;Ungdomens Hus 1200 kvadrat;Mandolingatan 47;1;14805172;Askim-Frölunda-Högsbo, Frölunda Torg;57.653307;11.911164;1
2014;Utbynässkolan;Vallareleden 3;2;14803022 14803023;Östra Göteborg, Utby | Östra Göteborg, Utbynäs;57.737088;12.048631;1
2014;Utmarksskolan;Aprilgatan 2-4;2;14803042 14803043;Östra Göteborg, Kortedala, Norra | Östra Göteborg, Månadsgatorna m fl;57.762349;12.043417;1
2014;Västerhedsskolan;Sjupundsgatan 10;2;14805111 14805112;Askim-Frölunda-Högsbo, Högsbohöjd, N | Askim-Frölunda-Högsbo, Högsbohöjd, S;57.672688;11.920036;2
2014;Vättnedalsskolan;Smaragdgatan 28;2;14805201 14805202;Västra Göteborg, Grevegården | Västra Göteborg, Skattegården;57.645688;11.898437;1
2014;Vårvindens fritidsgård;Daggdroppegatan 3;2;14807021 14807022;Västra Hisingen, Länsmansgården, C | Västra Hisingen, Länsmansgården, N;57.733927;11.894542;1
2014;Älvegårdens skola;Nya Älvegårdsvägen 10;1;14807064;Västra Hisingen, Älvegården m fl;57.736133;11.805019;1
2014;Ånässkolan;Falkgatan 8;2;14802013 14802014;Örgryte-Härlanda, Redberget | Örgryte-Härlanda, Redbergsplatsen;57.718641;12.003637;1
2014;Önneredsskolan;Juteskärsgatan 3;2;14805191 14805192;Västra Göteborg, Önnered, Västra | Västra Göteborg, Önnered, Östra;57.638274;11.883397;1
2014;Örgryte församlingshem;Herrgårdsgatan 2;2;14802061 14802062;Örgryte-Härlanda, Bö | Örgryte-Härlanda, Örgryte;57.702117;12.004078;1
