val;kod_2014;namn_2014;indelning;kod_2010;namn_2010;matchning
kf;14801121;Centrum, Landala;Oförändrad;14800732;Centrum, Landala;exakt
kf;14801122;Centrum, Landalabergen m fl;Modifierad;;;ingen FGVAL
kf;14801123;Centrum, Landalagången m fl;Modifierad;;;ingen FGVAL
kf;14801131;Centrum, Doktor Forselius gata m fl;Oförändrad;14800746;Centrum, Doktor Forselius gata m fl;exakt
kf;14801132;Centrum, Guldheden vattentornet;Oförändrad;14800741;Centrum, Guldheden vattentornet;exakt
kf;14801133;Centrum, Guldheden, Centrala;Oförändrad;14800742;Centrum, Centrala Guldheden;exakt
kf;14801134;Centrum, Guldheden, Norra;Oförändrad;14800743;Centrum, Norra Guldheden;exakt
kf;14801135;Centrum, Guldheden, Södra;Oförändrad;14800745;Centrum, Södra Guldheden;exakt
kf;14801136;Centrum, Landala Egnahem;Oförändrad;14800744;Centrum, Landala Egnahem;exakt
kf;14801141;Centrum, Lorensberg;Oförändrad;14800751;Centrum, Lorensberg;exakt
kf;14801151;Centrum, Valand;Oförändrad;14800763;Centrum, Valand;exakt
kf;14801152;Centrum, Vasastaden, Norra;Oförändrad;14800762;Centrum, Norra Vasastaden;exakt
kf;14801153;Centrum, Vasastaden, Södra;Oförändrad;14800761;Centrum, Södra Vasastaden;exakt
kf;14801154;Centrum, Vasastaden, Östra;Oförändrad;14800764;Centrum, Östra Vasastaden;exakt
kf;14801161;Centrum, Inom Vallgraven;Oförändrad;14800771;Centrum, Inom Vallgraven;exakt
kf;14801162;Centrum, Nordstan-Otterhällan;Oförändrad;14800772;Centrum, Nordstan-Otterhällan;exakt
kf;14801171;Centrum, Friggagatan-Stampen;Oförändrad;14800783;Centrum, Friggagatan-Stampen;exakt
kf;14801172;Centrum, Gullbergsvass-Svingeln;Modifierad;;;ingen FGVAL
kf;14801173;Centrum, Gårda, Norra;Modifierad;;;ingen FGVAL
kf;14801174;Centrum, Odinsgatan-Stampen;Oförändrad;14800781;Centrum, Odinsgatan-Stampen;exakt
kf;14801181;Centrum, Bohusgatan m fl;Modifierad;;;ingen FGVAL
kf;14801182;Centrum, Gårda, Södra;Modifierad;;;ingen FGVAL
kf;14801183;Centrum, Heden;Modifierad;;;ingen FGVAL
kf;14801184;Centrum, Hedås;Modifierad;;;ingen FGVAL
kf;14802011;Örgryte-Härlanda, Gubbero;Modifierad;;;ingen FGVAL
kf;14802012;Örgryte-Härlanda, Olskroken;Oförändrad;14800612;Örgryte, Olskroken;exakt
kf;14802013;Örgryte-Härlanda, Redberget;Modifierad;;;ingen FGVAL
kf;14802014;Örgryte-Härlanda, Redbergsplatsen;Modifierad;;;ingen FGVAL
kf;14802021;Örgryte-Härlanda, Bagaregården;Oförändrad;14800621;Örgryte, Bagaregården;exakt
kf;14802022;Örgryte-Härlanda, Ånäs;Oförändrad;14800622;Örgryte, Ånäs;exakt
kf;14802031;Örgryte-Härlanda, Redbergslid;Oförändrad;14800632;Örgryte, Redbergslid;exakt
kf;14802032;Örgryte-Härlanda, Strömmensberg;Oförändrad;14800631;Örgryte, Strömmensberg;exakt
kf;14802041;Örgryte-Härlanda, Kallebäck, Västra;Modifierad;;;ingen FGVAL
kf;14802042;Örgryte-Härlanda, Kallebäck, Östra;Modifierad;;;ingen FGVAL
kf;14802051;Örgryte-Härlanda, Jakobsdal;Oförändrad;14800652;Örgryte, Jakobsdal;exakt
kf;14802052;Örgryte-Härlanda, Skår, Norra;Oförändrad;14800653;Örgryte, Norra Skår;exakt
kf;14802053;Örgryte-Härlanda, Skår, Södra;Oförändrad;14800651;Örgryte, Södra Skår;exakt
kf;14802061;Örgryte-Härlanda, Bö;Oförändrad;14800662;Örgryte, Bö;exakt
kf;14802062;Örgryte-Härlanda, Örgryte;Oförändrad;14800661;Örgryte, Örgryte;exakt
