kod_2018;kod_2022;procent;jamforbart;namn_2018;namn_2022;avvikelse;kalla_fil
;14800914;;nej;;Centrala Hisingen Kvillebäcken Ö;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800915;;nej;;Centrala Hisingen Vågmästareplatsen;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800916;;nej;;Centrala Hisingen Backaplan;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800917;;nej;;Centrala Hisingen Lundbyvassen;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800918;;nej;;Centrala Hisingen Porslinsfabriken;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800919;;nej;;Centrala Hisingen Brämaregården S;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800920;;nej;;Centrala Hisingen Kvillestaden;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800921;;nej;;Centrala Hisingen Brämaregården N;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800922;;nej;;Centrala Hisingen Rambergsstaden Ö;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800923;;nej;;Centrala Hisingen Rambergsstaden N;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800924;;nej;;Centrala Hisingen Rambergsvallen;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800925;;nej;;Centrala Hisingen Rambergsstaden S;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800926;;nej;;Centrala Hisingen Kyrkbyn Norra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800927;;nej;;Centrala Hisingen Lundby Norra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800928;;nej;;Centrala Hisingen Kyrkbyn Södra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800929;;nej;;Centrala Hisingen Lundby Södra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800930;;nej;;Centrala Hisingen Bräcke Norra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14804142;14800931;;ja;Lundby, Bräcke, Södra;Centrala Hisingen Bräcke Södra;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800932;;nej;;Centrala Hisingen Pölsebo-Bratterås;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800933;;nej;;Centrala Hisingen Färjenäs;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800934;;nej;;Centrala Hisingen Eriksberg Västra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800935;;nej;;Centrala Hisingen Eriksberg Östra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800936;;nej;;Centrala Hisingen Sörhallsberget S;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800937;;nej;;Centrala Hisingen Sörhallsberget N;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800938;;nej;;Centrala Hisingen Sannegården V;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800939;;nej;;Centrala Hisingen Sannegården Ö;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800940;;nej;;Centrala Hisingen Lindholmen Södra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800941;;nej;;Centrala Hisingen Lindholmen Norra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14804081;14801001;;ja;Norra Hisingen, Rödbo;Norra Hisingen Rödbo;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14804076;14801002;;ja;Norra Hisingen, Mysterna-Svankälla;Norra Hisingen Mysterna-Svankälla;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14804071;14801003;;ja;Norra Hisingen, Gerrebacka-Ingebäck;Norra Hisingen Gerrebacka-Ingebäck;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14804072;14801004;;ja;Norra Hisingen, Kärra, Norra;Norra Hisingen Kärra Norra;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14804075;14801005;;ja;Norra Hisingen, Kärra, Östra;Norra Hisingen Kärra Östra;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14804073;14801006;;ja;Norra Hisingen, Kärra, Södra;Norra Hisingen Kärra Södra;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14804074;14801007;;ja;Norra Hisingen, Kärra, Västra;Norra Hisingen Kärra Västra;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14804092;14801008;;ja;Norra Hisingen, Skogome;Norra Hisingen Skogome;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14804135;14801009;;ja;Norra Hisingen, Åketorp;Norra Hisingen Åketorp;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14801010;;nej;;Norra Hisingen Bäckebol Norra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14801011;;nej;;Norra Hisingen Backadalen;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14801012;;nej;;Norra Hisingen Bäckebol Södra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14801013;;nej;;Norra Hisingen Skälltorp;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14801014;;nej;;Norra Hisingen Selma Lagerlöfs Torg;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14801015;;nej;;Norra Hisingen Sankt Jörgen;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14801016;;nej;;Norra Hisingen Backa Röd;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14801017;;nej;;Norra Hisingen Julias Gata m fl;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14801018;;nej;;Norra Hisingen Blendas Gata m fl;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14801019;;nej;;Norra Hisingen Backa Södra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14801020;;nej;;Norra Hisingen Backa Norra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14801021;;nej;;Norra Hisingen Bällskär;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14801022;;nej;;Norra Hisingen Tingstad;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14801023;;nej;;Norra Hisingen Brunnsbo Södra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14801024;;nej;;Norra Hisingen Folkvisegatan m fl;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14801025;;nej;;Norra Hisingen Brunnsbo Norra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14801026;;nej;;Norra Hisingen Aröd;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14801027;;nej;;Norra Hisingen Tuve Södra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14801028;;nej;;Norra Hisingen Gunnestorp;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14801029;;nej;;Norra Hisingen Arvesgärde m fl;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14801030;;nej;;Norra Hisingen Glöstorp;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14801031;;nej;;Norra Hisingen Tuve Norra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14801032;;nej;;Norra Hisingen Norumshöjd;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14801033;;nej;;Norra Hisingen Tången;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14801034;;nej;;Norra Hisingen Säve;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
