ar;val;kod;namn;ogiltiga_ej_anmalda;blanka;ogiltiga_ovriga;kalla_fil
2018;rf;14801153;Centrum, Vasastaden, Norra;1;11;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801154;Centrum, Vasastaden, Södra;1;8;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801155;Centrum, Vasastaden, Östra;0;9;1;2018_L_per_valdistrikt.xlsx
2018;rf;14801161;Centrum, Inom Vallgraven;0;12;1;2018_L_per_valdistrikt.xlsx
2018;rf;14801162;Centrum, Nordstan;1;5;1;2018_L_per_valdistrikt.xlsx
2018;rf;14801163;Centrum, Otterhällan;1;11;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801171;Centrum, Friggagatan m fl;0;11;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801172;Centrum, Gårda, Norra;0;7;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801173;Centrum, Odinsgatan m fl;1;15;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801174;Centrum, Stampen;2;16;1;2018_L_per_valdistrikt.xlsx
2018;rf;14801175;Centrum, Svingeln;1;12;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801181;Centrum, Bohusgatan m fl;1;14;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801182;Centrum, Gårda, Södra;0;9;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801183;Centrum, Heden;3;10;2;2018_L_per_valdistrikt.xlsx
2018;rf;14801184;Centrum, Hedås;0;11;2;2018_L_per_valdistrikt.xlsx
2018;rf;14801185;Centrum, Sten Sturegatan m fl;2;8;1;2018_L_per_valdistrikt.xlsx
2018;rf;14802011;Örgryte-Härlanda, Gubbero;1;11;1;2018_L_per_valdistrikt.xlsx
2018;rf;14802012;Örgryte-Härlanda, Olskroken;0;9;0;2018_L_per_valdistrikt.xlsx
2018;rf;14802013;Örgryte-Härlanda, Redberget;1;18;0;2018_L_per_valdistrikt.xlsx
2018;rf;14802014;Örgryte-Härlanda, Redbergsplatsen;0;9;0;2018_L_per_valdistrikt.xlsx
2018;rf;14802021;Örgryte-Härlanda, Bagaregården;2;6;0;2018_L_per_valdistrikt.xlsx
2018;rf;14802022;Örgryte-Härlanda, Ånäs;0;10;0;2018_L_per_valdistrikt.xlsx
2018;rf;14802031;Örgryte-Härlanda, Strömmensberg, V;3;13;0;2018_L_per_valdistrikt.xlsx
2018;rf;14802032;Örgryte-Härlanda, Strömmensberg, Ö;1;13;1;2018_L_per_valdistrikt.xlsx
2018;rf;14802041;Örgryte-Härlanda, Kallebäck, Norra;1;10;0;2018_L_per_valdistrikt.xlsx
2018;rf;14802042;Örgryte-Härlanda, Kallebäck, Västra;0;3;0;2018_L_per_valdistrikt.xlsx
2018;rf;14802043;Örgryte-Härlanda, Kallebäck, Östra;1;11;0;2018_L_per_valdistrikt.xlsx
2018;rf;14802051;Örgryte-Härlanda, Jakobsdal;0;10;0;2018_L_per_valdistrikt.xlsx
2018;rf;14802052;Örgryte-Härlanda, Skår, Norra;1;4;1;2018_L_per_valdistrikt.xlsx
2018;rf;14802053;Örgryte-Härlanda, Skår, Södra;1;5;0;2018_L_per_valdistrikt.xlsx
2018;rf;14802061;Örgryte-Härlanda, Bö;0;10;1;2018_L_per_valdistrikt.xlsx
2018;rf;14802062;Örgryte-Härlanda, Örgryte;1;6;0;2018_L_per_valdistrikt.xlsx
2018;rf;14802071;Örgryte-Härlanda, Stora Torp;0;7;0;2018_L_per_valdistrikt.xlsx
2018;rf;14802072;Örgryte-Härlanda, Lilla Torp;1;12;1;2018_L_per_valdistrikt.xlsx
2018;rf;14802081;Örgryte-Härlanda, Danska vägen m fl;1;13;1;2018_L_per_valdistrikt.xlsx
2018;rf;14802082;Örgryte-Härlanda, Kärralund, Norra;0;8;1;2018_L_per_valdistrikt.xlsx
2018;rf;14802083;Örgryte-Härlanda, Kärralund, Södra;1;14;0;2018_L_per_valdistrikt.xlsx
2018;rf;14802084;Örgryte-Härlanda, Lunden, Gamla;1;11;0;2018_L_per_valdistrikt.xlsx
2018;rf;14802085;Örgryte-Härlanda, Lunden, Nya;2;13;0;2018_L_per_valdistrikt.xlsx
2018;rf;14802086;Örgryte-Härlanda, Nobelplatsen;0;15;0;2018_L_per_valdistrikt.xlsx
2018;rf;14802087;Örgryte-Härlanda, Sankt Pauli;3;15;0;2018_L_per_valdistrikt.xlsx
2018;rf;14802088;Örgryte-Härlanda, Överås;0;10;0;2018_L_per_valdistrikt.xlsx
