kod_2014;namn_2014;kod_2018;namn_2018;procent_officiell;andel_av_2014_geo;andel_av_2018_geo;diff_geo_minus_officiell;status;indelning_2018
14802081;Örgryte-Härlanda, Kärralund;14802082;Örgryte-Härlanda, Kärralund, Norra;70.6;0.6059;1.0000;-0.1001;bada;M
14802081;Örgryte-Härlanda, Kärralund;14802083;Örgryte-Härlanda, Kärralund, Södra;29.4;0.3941;0.3972;0.1001;bada;M
14802082;Örgryte-Härlanda, Lunden, Gamla;14802084;Örgryte-Härlanda, Lunden, Gamla;56.9;0.5217;0.5735;-0.0473;bada;M
14802082;Örgryte-Härlanda, Lunden, Gamla;14802087;Örgryte-Härlanda, Sankt Pauli;43.1;0.4783;0.4070;0.0473;bada;M
14802083;Örgryte-Härlanda, Lunden, Nya;14802083;Örgryte-Härlanda, Kärralund, Södra;48.2;0.6696;0.6028;0.1876;bada;M
14802083;Örgryte-Härlanda, Lunden, Nya;14802085;Örgryte-Härlanda, Lunden, Nya;51.8;0.3304;0.8756;-0.1876;bada;M
14802084;Örgryte-Härlanda, Nobelplatsen;14802086;Örgryte-Härlanda, Nobelplatsen;82.0;0.7544;1.0000;-0.0656;bada;M
14802084;Örgryte-Härlanda, Nobelplatsen;14802085;Örgryte-Härlanda, Lunden, Nya;18.0;0.2456;0.1244;0.0656;bada;M
14802085;Örgryte-Härlanda, Sankt Pauli;14802081;Örgryte-Härlanda, Danska vägen m fl;62.1;0.5884;0.7626;-0.0326;bada;M
14802085;Örgryte-Härlanda, Sankt Pauli;14802087;Örgryte-Härlanda, Sankt Pauli;37.9;0.4116;0.5930;0.0326;bada;M
14802086;Örgryte-Härlanda, Överås;14802088;Örgryte-Härlanda, Överås;62.4;0.7298;1.0000;0.1058;bada;M
14802086;Örgryte-Härlanda, Överås;14802084;Örgryte-Härlanda, Lunden, Gamla;23.5;0.1501;0.4265;-0.0849;bada;M
14802086;Örgryte-Härlanda, Överås;14802081;Örgryte-Härlanda, Danska vägen m fl;14.2;0.1200;0.2374;-0.0220;bada;M
14802091;Örgryte-Härlanda, Härlanda;14802091;Örgryte-Härlanda, Härlanda;100.0;1.0000;1.0000;-0.0000;bada;O
14802101;Örgryte-Härlanda, Kålltorp, Norra;14802101;Örgryte-Härlanda, Kålltorp, Norra;56.0;0.6268;0.4613;0.0668;bada;M
14802101;Örgryte-Härlanda, Kålltorp, Norra;14802103;Örgryte-Härlanda, Kålltorp, Västra;31.1;0.1875;0.1680;-0.1235;bada;M
14802101;Örgryte-Härlanda, Kålltorp, Norra;14802104;Örgryte-Härlanda, Kålltorp, Östra;8.5;0.0835;0.0717;-0.0015;bada;M
