ar_fg;val;kod_2018;namn_2018;giltiga_2018;giltiga_fgval;rostande_2018;rostande_fgval;rostberattigade_2018;rostberattigade_fgval;valdeltagande_2018;valdeltagande_fgval;indelning
2014;rf;14805091;Askim-Frölunda-Högsbo, Kaverös, N;1006;982;1017;996;1274;1241;79.83;80.26;
2014;rf;14805092;Askim-Frölunda-Högsbo, Kaverös, S;941;891;956;903;1189;1172;80.40;77.05;
2014;rf;14805093;Askim-Frölunda-Högsbo, Kavås;1053;1047;1075;1063;1265;1233;84.98;86.21;
2014;rf;14805101;Askim-Frölunda-Högsbo, Flatås, S;987;;1003;;1241;;80.82;;Modifierad
2014;rf;14805102;Askim-Frölunda-Högsbo, Flatås, V;503;;509;;636;;80.03;;Modifierad
2014;rf;14805103;Askim-Frölunda-Högsbo, Flatås, Ö;879;;902;;1167;;77.29;;Modifierad
2014;rf;14805111;Askim-Frölunda-Högsbo, Högsbohöjd, N;1043;;1070;;1422;;75.25;;Modifierad
2014;rf;14805112;Askim-Frölunda-Högsbo, Högsbohöjd, S;1206;;1224;;1512;;80.95;;Modifierad
2014;rf;14805121;Askim-Frölunda-Högsbo, Högsbo;805;;814;;1079;;75.44;;Modifierad
2014;rf;14805122;Askim-Frölunda-Högsbo, Högsbotorp, S;884;;896;;1186;;75.55;;Modifierad
2014;rf;14805123;Askim-Frölunda-Högsbo, Högsbotorp, V;894;;903;;1108;;81.50;;Modifierad
2014;rf;14805124;Askim-Frölunda-Högsbo, Högsbotorp, Ö;1167;;1185;;1443;;82.12;;Modifierad
2014;rf;14805125;Askim-Frölunda-Högsbo, Marklandsgat.;951;;960;;1196;;80.27;;Modifierad
2014;rf;14805131;Askim-Frölunda-Högsbo, Spinetten;650;668;662;674;926;954;71.49;70.65;
2014;rf;14805132;Askim-Frölunda-Högsbo, Tofta;931;;951;;1257;;75.66;;Modifierad
2014;rf;14805141;Askim-Frölunda-Högsbo, Altplatsen;722;;733;;913;;80.28;;Modifierad
2014;rf;14805142;Askim-Frölunda-Högsbo, Ruddalen;756;;772;;1018;;75.83;;Modifierad
2014;rf;14805151;Askim-Frölunda-Högsbo, Järnbrott, S;1029;;1037;;1195;;86.78;;Modifierad
2014;rf;14805152;Askim-Frölunda-Högsbo, Järnbrott, V;816;;827;;1021;;81.00;;Modifierad
2014;rf;14805153;Askim-Frölunda-Högsbo, Järnbrott, Ö;862;;869;;1136;;76.50;;Modifierad
2014;rf;14805171;Askim-Frölunda-Högsbo, Frölunda;630;532;636;537;1031;971;61.69;55.30;
2014;rf;14805172;Askim-Frölunda-Högsbo, Frölunda Torg;969;800;979;811;1548;1381;63.24;58.73;
2014;rf;14805173;Askim-Frölunda-Högsbo, Gånglåten;804;689;814;699;1200;1080;67.83;64.72;
2014;rf;14805174;Askim-Frölunda-Högsbo, Mandolingatan;812;760;825;769;1147;1112;71.93;69.15;
