kod_2018;namn_2018;indelning_officiell;klass_geo;antal_2014_stora;storsta_kod_2014;andel_av_2018;andel_av_2014;samma_kod_och_yta
14801122;Centrum, Landalabergen m fl;O;identisk;1;14801122;1.0000;1.0000;ja
14801123;Centrum, Landalagången m fl;O;delning;1;14801123;1.0000;0.9293;nej
14801131;Centrum, Doktor Forselius Backe m fl;M;omritning;2;14801131;0.6280;0.4713;nej
14801132;Centrum, Guldheden Vattentornet;M;delning;1;14801132;1.0000;0.8689;nej
14801133;Centrum, Guldheden Östra;M;omritning;2;14801131;0.5590;0.5263;nej
14801134;Centrum, Guldheden, Centrala;O;identisk;1;14801133;1.0000;1.0000;nej
14801135;Centrum, Guldheden, Norra;M;delning;1;14801134;1.0000;0.8522;nej
14801136;Centrum, Guldheden, Södra;O;identisk;1;14801135;1.0000;1.0000;nej
14801137;Centrum, Landala Egnahem;M;omritning;3;14801136;0.7098;0.6935;nej
14801141;Centrum, Lorensberg;M;delning;1;14801141;1.0000;0.8102;nej
14801151;Centrum, Fogelbergsparken;M;omritning;2;14801153;0.7854;0.6596;nej
14801152;Centrum, Valand;O;identisk;1;14801151;1.0000;1.0000;nej
14801153;Centrum, Vasastaden, Norra;M;delning;1;14801152;1.0000;0.8817;nej
14801154;Centrum, Vasastaden, Södra;M;omritning;2;14801153;0.5599;0.3404;nej
14801155;Centrum, Vasastaden, Östra;M;delning;1;14801154;1.0000;0.7874;nej
14801161;Centrum, Inom Vallgraven;M;delning;1;14801161;1.0000;0.6918;nej
14801162;Centrum, Nordstan;M;omritning;2;14801162;0.7886;0.7100;nej
14801163;Centrum, Otterhällan;M;omritning;2;14801162;0.8097;0.2900;nej
14801171;Centrum, Friggagatan m fl;M;delning;1;14801171;1.0000;0.6865;nej
14801172;Centrum, Gårda, Norra;O;identisk;1;14801173;1.0000;1.0000;nej
14801173;Centrum, Odinsgatan m fl;M;omritning;2;14801172;0.9284;0.8737;nej
14801174;Centrum, Stampen;M;omritning;3;14801172;0.6828;0.0520;nej
14801175;Centrum, Svingeln;M;delning;1;14801172;1.0000;0.0743;nej
14801181;Centrum, Bohusgatan m fl;M;omritning;2;14801183;0.5687;0.8403;nej
14801182;Centrum, Gårda, Södra;M;delning;1;14801182;1.0000;0.9736;nej
14801183;Centrum, Heden;M;delning;1;14801183;1.0000;0.1597;nej
14801184;Centrum, Hedås;M;omritning;2;14801141;0.5553;0.1898;nej
14801185;Centrum, Sten Sturegatan m fl;M;omritning;2;14801181;0.5335;0.1200;nej
14802011;Örgryte-Härlanda, Gubbero;O;identisk;1;14802011;1.0000;1.0000;ja
14802012;Örgryte-Härlanda, Olskroken;O;identisk;1;14802012;1.0000;1.0000;ja
14802013;Örgryte-Härlanda, Redberget;O;identisk;1;14802013;1.0000;1.0000;ja
14802014;Örgryte-Härlanda, Redbergsplatsen;O;identisk;1;14802014;1.0000;1.0000;ja
14802021;Örgryte-Härlanda, Bagaregården;M;omritning;2;14802021;0.9157;1.0000;nej
14802022;Örgryte-Härlanda, Ånäs;M;omritning;2;14802031;0.5129;0.4488;nej
14802031;Örgryte-Härlanda, Strömmensberg, V;M;delning;1;14802031;1.0000;0.5512;nej
14802032;Örgryte-Härlanda, Strömmensberg, Ö;O;identisk;1;14802032;1.0000;1.0000;ja
14802041;Örgryte-Härlanda, Kallebäck, Norra;M;omritning;2;14802042;0.8225;0.0444;nej
14802042;Örgryte-Härlanda, Kallebäck, Västra;M;delning;1;14802041;1.0000;0.5090;nej
14802043;Örgryte-Härlanda, Kallebäck, Östra;M;omritning;2;14802042;0.8963;0.9534;nej
