ar;val;kod;namn;summa_kategorier;rostberattigade_resultatfil;diff;kalla_fil
2010;rd;14800743;Centrum, Norra Guldheden;1417;1417;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800744;Centrum, Landala Egnahem;1280;1280;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800745;Centrum, Södra Guldheden;1276;1276;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800746;Centrum, Doktor Forselius gata m fl;1203;1203;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800751;Centrum, Lorensberg;1725;1725;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800761;Centrum, Södra Vasastaden;1677;1677;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800762;Centrum, Norra Vasastaden;1682;1682;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800763;Centrum, Valand;1129;1129;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800764;Centrum, Östra Vasastaden;1482;1482;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800771;Centrum, Inom Vallgraven;1677;1677;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800772;Centrum, Nordstan-Otterhällan;1655;1655;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800781;Centrum, Odinsgatan-Stampen;1574;1574;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800782;Centrum, Gullbergsvass-Svingeln;1793;1793;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800783;Centrum, Friggagatan-Stampen;1469;1469;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800791;Centrum, Hedås-Gårda;1763;1763;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800792;Centrum, Södra Heden;1471;1471;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800793;Centrum, Norra Heden-Gårda;1899;1899;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800811;Linnéstaden, Övre Masthugget;1473;1473;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800812;Linnéstaden, Stigberget;1547;1547;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800813;Linnéstaden, Masthuggstorget;1327;1327;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800814;Linnéstaden, Nedre Masthugget;1301;1301;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800815;Linnéstaden, Oscar Fredrik;1287;1287;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800816;Linnéstaden, Vegastaden;1192;1192;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800817;Linnéstaden, Slottsskogen;1108;1108;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800821;Linnéstaden, Änggården;1166;1166;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800831;Linnéstaden, Skansberget;1617;1617;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800832;Linnéstaden, Haga;1757;1757;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800841;Linnéstaden, Annedal;1779;1779;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800842;Linnéstaden, Nilssonsberg;1762;1762;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800851;Linnéstaden, Linnéplatsen;1036;1036;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800852;Linnéstaden, Olivedal;1617;1617;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800853;Linnéstaden, Långgatorna;1722;1722;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800854;Linnéstaden, Linné;1489;1489;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800855;Linnéstaden, Risåsen;1339;1339;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800856;Linnéstaden, Kommendantsängen;1247;1247;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800857;Linnéstaden, Sveaplan;1346;1346;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800911;Majorna, Svalebo;1180;1180;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800912;Majorna, Skytteskogen;1648;1648;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800913;Majorna, Kungsladugård;1405;1405;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800914;Majorna, Mariaplan;1287;1287;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800915;Majorna, Silverkällan;1461;1461;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800916;Majorna, Klippan;1700;1700;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800921;Majorna, Sandarne;1697;1697;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800931;Majorna, Slottsskogsgatan m fl;1737;1737;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800932;Majorna, Majorna;1297;1297;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800933;Majorna, Hängmattan;1133;1133;0;slutligt_valresultat_valdistrikt_R.xls
