ar;val;valkrets;parti;fasta;utjamning;totalt;kalla
2010;kf;Göteborg, Öster;SD;1;0;1;mandatfordelning_per_valkrets_K.xls rad LAN 14 KOM 80 VALKRETS 2, kolumn SD
2010;kf;Göteborg, Öster;VÄGV;1;0;1;mandatfordelning_per_valkrets_K.xls rad LAN 14 KOM 80 VALKRETS 2, kolumn VägV
2011;rf;Göteborgs kommun;S;13;2;15;mandatfordelning_per_valkrets_L.xls rad LAN 14 VALKRETS 1 (omvalet till regionfullmaktige 2011-05-15)
2011;rf;Göteborgs kommun;M;12;2;14;mandatfordelning_per_valkrets_L.xls rad LAN 14 VALKRETS 1 (omvalet till regionfullmaktige 2011-05-15)
2011;rf;Göteborgs kommun;MP;5;1;6;mandatfordelning_per_valkrets_L.xls rad LAN 14 VALKRETS 1 (omvalet till regionfullmaktige 2011-05-15)
2011;rf;Göteborgs kommun;V;4;1;5;mandatfordelning_per_valkrets_L.xls rad LAN 14 VALKRETS 1 (omvalet till regionfullmaktige 2011-05-15)
2011;rf;Göteborgs kommun;L;4;0;4;mandatfordelning_per_valkrets_L.xls rad LAN 14 VALKRETS 1 (omvalet till regionfullmaktige 2011-05-15)
2011;rf;Göteborgs kommun;SD;3;0;3;mandatfordelning_per_valkrets_L.xls rad LAN 14 VALKRETS 1 (omvalet till regionfullmaktige 2011-05-15)
2011;rf;Göteborgs kommun;KD;2;0;2;mandatfordelning_per_valkrets_L.xls rad LAN 14 VALKRETS 1 (omvalet till regionfullmaktige 2011-05-15)
2011;rf;Göteborgs kommun;C;1;0;1;mandatfordelning_per_valkrets_L.xls rad LAN 14 VALKRETS 1 (omvalet till regionfullmaktige 2011-05-15)
2014;rd;Göteborgs kommun;M;4;0;4;mandatfordelning_per_valkrets_R.xls rad LAN 14 VALKRETS 16, kolumner <parti> och <parti> utj
2014;rd;Göteborgs kommun;S;4;0;4;mandatfordelning_per_valkrets_R.xls rad LAN 14 VALKRETS 16, kolumner <parti> och <parti> utj
2014;rd;Göteborgs kommun;MP;2;0;2;mandatfordelning_per_valkrets_R.xls rad LAN 14 VALKRETS 16, kolumner <parti> och <parti> utj
2014;rd;Göteborgs kommun;SD;2;0;2;mandatfordelning_per_valkrets_R.xls rad LAN 14 VALKRETS 16, kolumner <parti> och <parti> utj
2014;rd;Göteborgs kommun;V;2;0;2;mandatfordelning_per_valkrets_R.xls rad LAN 14 VALKRETS 16, kolumner <parti> och <parti> utj
2014;rd;Göteborgs kommun;C;1;0;1;mandatfordelning_per_valkrets_R.xls rad LAN 14 VALKRETS 16, kolumner <parti> och <parti> utj
2014;rd;Göteborgs kommun;KD;1;0;1;mandatfordelning_per_valkrets_R.xls rad LAN 14 VALKRETS 16, kolumner <parti> och <parti> utj
2014;rd;Göteborgs kommun;L;1;0;1;mandatfordelning_per_valkrets_R.xls rad LAN 14 VALKRETS 16, kolumner <parti> och <parti> utj
2014;rf;Göteborgs kommun;S;11;1;12;slutresultat/slutresultat_00L.xml KRETS_LANDSTING 1401 GILTIGA MANDAT, VARAV_UTJÄMNING
2014;rf;Göteborgs kommun;M;11;0;11;slutresultat/slutresultat_00L.xml KRETS_LANDSTING 1401 GILTIGA MANDAT, VARAV_UTJÄMNING
2014;rf;Göteborgs kommun;MP;6;0;6;slutresultat/slutresultat_00L.xml KRETS_LANDSTING 1401 GILTIGA MANDAT, VARAV_UTJÄMNING
2014;rf;Göteborgs kommun;V;6;0;6;slutresultat/slutresultat_00L.xml KRETS_LANDSTING 1401 GILTIGA MANDAT, VARAV_UTJÄMNING
2014;rf;Göteborgs kommun;L;4;0;4;slutresultat/slutresultat_00L.xml KRETS_LANDSTING 1401 GILTIGA MANDAT, VARAV_UTJÄMNING
2014;rf;Göteborgs kommun;SD;3;0;3;slutresultat/slutresultat_00L.xml KRETS_LANDSTING 1401 GILTIGA MANDAT, VARAV_UTJÄMNING
2014;rf;Göteborgs kommun;C;1;1;2;slutresultat/slutresultat_00L.xml KRETS_LANDSTING 1401 GILTIGA MANDAT, VARAV_UTJÄMNING
2014;rf;Göteborgs kommun;KD;2;0;2;slutresultat/slutresultat_00L.xml KRETS_LANDSTING 1401 GILTIGA MANDAT, VARAV_UTJÄMNING
2014;kf;Göteborg;M;20;0;20;slutresultat/slutresultat_1480K.xml KOMMUN 1480 GILTIGA MANDAT (hela kommunen)
2014;kf;Göteborg;S;20;0;20;slutresultat/slutresultat_1480K.xml KOMMUN 1480 GILTIGA MANDAT (hela kommunen)
2014;kf;Göteborg;MP;9;0;9;slutresultat/slutresultat_1480K.xml KOMMUN 1480 GILTIGA MANDAT (hela kommunen)
2014;kf;Göteborg;V;8;0;8;slutresultat/slutresultat_1480K.xml KOMMUN 1480 GILTIGA MANDAT (hela kommunen)
2014;kf;Göteborg;L;7;0;7;slutresultat/slutresultat_1480K.xml KOMMUN 1480 GILTIGA MANDAT (hela kommunen)
2014;kf;Göteborg;SD;6;0;6;slutresultat/slutresultat_1480K.xml KOMMUN 1480 GILTIGA MANDAT (hela kommunen)
2014;kf;Göteborg;VÄGV;5;0;5;slutresultat/slutresultat_1480K.xml KOMMUN 1480 GILTIGA MANDAT (hela kommunen)
2014;kf;Göteborg;FI;3;0;3;slutresultat/slutresultat_1480K.xml KOMMUN 1480 GILTIGA MANDAT (hela kommunen)
2014;kf;Göteborg;KD;3;0;3;slutresultat/slutresultat_1480K.xml KOMMUN 1480 GILTIGA MANDAT (hela kommunen)
2014;kf;Göteborg, Centrum;M;5;0;5;slutresultat/slutresultat_1480K.xml KRETS_KOMMUN 148003 GILTIGA MANDAT
2014;kf;Göteborg, Centrum;MP;3;0;3;slutresultat/slutresultat_1480K.xml KRETS_KOMMUN 148003 GILTIGA MANDAT
2014;kf;Göteborg, Centrum;S;3;0;3;slutresultat/slutresultat_1480K.xml KRETS_KOMMUN 148003 GILTIGA MANDAT
2014;kf;Göteborg, Centrum;L;2;0;2;slutresultat/slutresultat_1480K.xml KRETS_KOMMUN 148003 GILTIGA MANDAT
2014;kf;Göteborg, Centrum;V;2;0;2;slutresultat/slutresultat_1480K.xml KRETS_KOMMUN 148003 GILTIGA MANDAT
2014;kf;Göteborg, Centrum;FI;1;0;1;slutresultat/slutresultat_1480K.xml KRETS_KOMMUN 148003 GILTIGA MANDAT
2014;kf;Göteborg, Centrum;KD;1;0;1;slutresultat/slutresultat_1480K.xml KRETS_KOMMUN 148003 GILTIGA MANDAT
2014;kf;Göteborg, Centrum;SD;1;0;1;slutresultat/slutresultat_1480K.xml KRETS_KOMMUN 148003 GILTIGA MANDAT
2014;kf;Göteborg, Centrum;VÄGV;1;0;1;slutresultat/slutresultat_1480K.xml KRETS_KOMMUN 148003 GILTIGA MANDAT
2014;kf;Göteborg, Hisingen;S;6;0;6;slutresultat/slutresultat_1480K.xml KRETS_KOMMUN 148001 GILTIGA MANDAT
2014;kf;Göteborg, Hisingen;M;5;0;5;slutresultat/slutresultat_1480K.xml KRETS_KOMMUN 148001 GILTIGA MANDAT
2014;kf;Göteborg, Hisingen;L;2;0;2;slutresultat/slutresultat_1480K.xml KRETS_KOMMUN 148001 GILTIGA MANDAT
2014;kf;Göteborg, Hisingen;MP;2;0;2;slutresultat/slutresultat_1480K.xml KRETS_KOMMUN 148001 GILTIGA MANDAT
2014;kf;Göteborg, Hisingen;SD;2;0;2;slutresultat/slutresultat_1480K.xml KRETS_KOMMUN 148001 GILTIGA MANDAT
2014;kf;Göteborg, Hisingen;V;2;0;2;slutresultat/slutresultat_1480K.xml KRETS_KOMMUN 148001 GILTIGA MANDAT
2014;kf;Göteborg, Hisingen;VÄGV;2;0;2;slutresultat/slutresultat_1480K.xml KRETS_KOMMUN 148001 GILTIGA MANDAT
2014;kf;Göteborg, Hisingen;KD;1;0;1;slutresultat/slutresultat_1480K.xml KRETS_KOMMUN 148001 GILTIGA MANDAT
2014;kf;Göteborg, Väster;M;6;0;6;slutresultat/slutresultat_1480K.xml KRETS_KOMMUN 148004 GILTIGA MANDAT
2014;kf;Göteborg, Väster;S;4;0;4;slutresultat/slutresultat_1480K.xml KRETS_KOMMUN 148004 GILTIGA MANDAT
2014;kf;Göteborg, Väster;L;2;0;2;slutresultat/slutresultat_1480K.xml KRETS_KOMMUN 148004 GILTIGA MANDAT
2014;kf;Göteborg, Väster;MP;2;0;2;slutresultat/slutresultat_1480K.xml KRETS_KOMMUN 148004 GILTIGA MANDAT
