kod_2010;namn_2010;kod_2006_troligast;namn_2006;typ;belagg
14800421;Bergsjön, Södra Bergsjön;14802606;Bergsjön 6;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 53,1,29,22,535,64,18,19 (summa 741) mot 2006 14802606, geometri 100.0/100.0 procent, namn olika
14800422;Bergsjön, Östra Bergsjön;14802605;Bergsjön 5;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 49,8,30,41,427,66,38,14 (summa 673) mot 2006 14802605, geometri 100.0/100.0 procent, namn olika
14800423;Bergsjön, Rymdtorget;14802607;Bergsjön 7;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 29,6,13,33,269,55,33,5 (summa 443) mot 2006 14802607, geometri 100.0/100.0 procent, namn olika
14800424;Bergsjön, Komettorget;14802608;Bergsjön 8;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 43,3,37,26,393,56,25,15 (summa 598) mot 2006 14802608, geometri 100.0/100.0 procent, namn olika
14800511;Härlanda, Härlanda;14803306;Kålltorp-Härlanda 6;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 248,40,140,48,311,54,100,16 (summa 957) mot 2006 14803306, geometri 100.0/100.0 procent, namn olika
14800521;Härlanda, Södra Kålltorp;14803304;Kålltorp-Härlanda 4;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 282,59,160,80,360,81,140,38 (summa 1200) mot 2006 14803304, geometri 100.0/100.0 procent, namn olika
14800522;Härlanda, Västra Kålltorp;14803305;Kålltorp-Härlanda 5;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 152,23,108,34,278,78,102,17 (summa 792) mot 2006 14803305, geometri 100.0/100.0 procent, namn olika
14800523;Härlanda, Östra Kålltorp;14803303;Kålltorp-Härlanda 3;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 148,28,66,32,309,85,101,14 (summa 783) mot 2006 14803303, geometri 100.0/100.0 procent, namn olika
14800524;Härlanda, Vidkärr;14803302;Kålltorp-Härlanda 2;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 245,36,101,55,355,69,98,31 (summa 990) mot 2006 14803302, geometri 100.0/100.0 procent, namn olika
14800525;Härlanda, Munkebäck;14803301;Kålltorp-Härlanda 1;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 276,47,134,57,480,106,94,38 (summa 1232) mot 2006 14803301, geometri 100.0/100.0 procent, namn olika
