ar;val;niva;parti;roster;andel;giltiga;rostande;rostberattigade;valdeltagande;antal_distrikt;metod
2006;kf;riket;FKL;231;0.0;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;FKS;373;0.01;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;FNO;189;0.0;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;FOE;306;0.01;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;FOV;2114;0.04;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;FPO;351;0.01;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;FRAMT;215;0.0;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;FRK;143;0.0;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;FRV;217;0.0;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;FV;872;0.02;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;FYP;538;0.01;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;FÖ;4;0.0;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;GGF;586;0.01;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;GKS;656;0.01;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;GM;428;0.01;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;GÖF;418;0.01;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;HBGP;1149;0.02;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;HDP;191;0.0;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;HEL;549;0.01;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;HLP;555;0.01;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;HOB;556;0.01;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;HP;2161;0.04;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;HÖR;436;0.01;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;INVS;52;0.0;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;JL;3;0.0;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;K;283;0.01;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;KAL;1120;0.02;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;KB;1096;0.02;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;KBABO;2444;0.04;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;KD;320027;5.8;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;KF;2631;0.05;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;KFL;453;0.01;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;KIRP;3500;0.06;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;KIS;85;0.0;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;KL;343;0.01;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;KNU;982;0.02;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;KOF;305;0.01;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;KOM;74;0.0;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;KOMM;52;0.0;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;KOMM.;202;0.0;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;KOMMU;514;0.01;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;KOMP;1220;0.02;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;KOMS;95;0.0;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
