ar;val;kod;namn;ogiltiga_ej_anmalda;blanka;ogiltiga_ovriga;kalla_fil
2018;kf;14802032;Örgryte-Härlanda, Strömmensberg, Ö;0;7;0;2018_K_per_valdistrikt.xlsx
2018;kf;14802041;Örgryte-Härlanda, Kallebäck, Norra;1;10;0;2018_K_per_valdistrikt.xlsx
2018;kf;14802042;Örgryte-Härlanda, Kallebäck, Västra;1;2;0;2018_K_per_valdistrikt.xlsx
2018;kf;14802043;Örgryte-Härlanda, Kallebäck, Östra;1;9;0;2018_K_per_valdistrikt.xlsx
2018;kf;14802051;Örgryte-Härlanda, Jakobsdal;0;5;1;2018_K_per_valdistrikt.xlsx
2018;kf;14802052;Örgryte-Härlanda, Skår, Norra;1;4;0;2018_K_per_valdistrikt.xlsx
2018;kf;14802053;Örgryte-Härlanda, Skår, Södra;1;6;0;2018_K_per_valdistrikt.xlsx
2018;kf;14802061;Örgryte-Härlanda, Bö;1;6;2;2018_K_per_valdistrikt.xlsx
2018;kf;14802062;Örgryte-Härlanda, Örgryte;1;5;0;2018_K_per_valdistrikt.xlsx
2018;kf;14802071;Örgryte-Härlanda, Stora Torp;0;6;0;2018_K_per_valdistrikt.xlsx
2018;kf;14802072;Örgryte-Härlanda, Lilla Torp;0;6;0;2018_K_per_valdistrikt.xlsx
2018;kf;14802081;Örgryte-Härlanda, Danska vägen m fl;1;9;1;2018_K_per_valdistrikt.xlsx
2018;kf;14802082;Örgryte-Härlanda, Kärralund, Norra;1;6;0;2018_K_per_valdistrikt.xlsx
2018;kf;14802083;Örgryte-Härlanda, Kärralund, Södra;0;13;0;2018_K_per_valdistrikt.xlsx
2018;kf;14802084;Örgryte-Härlanda, Lunden, Gamla;0;12;1;2018_K_per_valdistrikt.xlsx
2018;kf;14802085;Örgryte-Härlanda, Lunden, Nya;1;14;0;2018_K_per_valdistrikt.xlsx
2018;kf;14802086;Örgryte-Härlanda, Nobelplatsen;0;12;0;2018_K_per_valdistrikt.xlsx
2018;kf;14802087;Örgryte-Härlanda, Sankt Pauli;2;10;0;2018_K_per_valdistrikt.xlsx
2018;kf;14802088;Örgryte-Härlanda, Överås;0;11;0;2018_K_per_valdistrikt.xlsx
2018;kf;14802091;Örgryte-Härlanda, Härlanda;2;10;0;2018_K_per_valdistrikt.xlsx
2018;kf;14802101;Örgryte-Härlanda, Kålltorp, Norra;0;13;1;2018_K_per_valdistrikt.xlsx
2018;kf;14802102;Örgryte-Härlanda, Kålltorp, Södra;1;6;0;2018_K_per_valdistrikt.xlsx
2018;kf;14802103;Örgryte-Härlanda, Kålltorp, Västra;0;8;1;2018_K_per_valdistrikt.xlsx
2018;kf;14802104;Örgryte-Härlanda, Kålltorp, Östra;0;10;2;2018_K_per_valdistrikt.xlsx
2018;kf;14802105;Örgryte-Härlanda, Munkebäck, Norra;2;16;1;2018_K_per_valdistrikt.xlsx
2018;kf;14802106;Örgryte-Härlanda, Munkebäck, Södra;1;8;0;2018_K_per_valdistrikt.xlsx
2018;kf;14802111;Örgryte-Härlanda, Fräntorp;1;12;3;2018_K_per_valdistrikt.xlsx
2018;kf;14802112;Örgryte-Härlanda, Torpa;5;6;1;2018_K_per_valdistrikt.xlsx
2018;kf;14802121;Örgryte-Härlanda, Björkekärr, Norra;0;9;0;2018_K_per_valdistrikt.xlsx
2018;kf;14802122;Örgryte-Härlanda, Björkekärr, Södra;0;11;0;2018_K_per_valdistrikt.xlsx
2018;kf;14802123;Örgryte-Härlanda, Björkekärr, Västra;0;6;0;2018_K_per_valdistrikt.xlsx
2018;kf;14802124;Örgryte-Härlanda, Björkekärr, Östra;1;7;0;2018_K_per_valdistrikt.xlsx
2018;kf;14802125;Örgryte-Härlanda, Robertshöjd m fl;3;6;0;2018_K_per_valdistrikt.xlsx
2018;kf;14803011;Östra Göteborg, Bellevue;0;4;0;2018_K_per_valdistrikt.xlsx
2018;kf;14803012;Östra Göteborg, Bellevue Park;0;10;0;2018_K_per_valdistrikt.xlsx
2018;kf;14803013;Östra Göteborg, Gamlestaden, Norra;0;6;0;2018_K_per_valdistrikt.xlsx
2018;kf;14803014;Östra Göteborg, Gamlestaden, Södra;0;14;1;2018_K_per_valdistrikt.xlsx
2018;kf;14803015;Östra Göteborg, Kviberg, Västra;2;13;2;2018_K_per_valdistrikt.xlsx
2018;kf;14803016;Östra Göteborg, Kviberg, Östra;1;5;0;2018_K_per_valdistrikt.xlsx
2018;kf;14803017;Östra Göteborg, Nylöse;1;3;0;2018_K_per_valdistrikt.xlsx
2018;kf;14803021;Östra Göteborg, Fjällbo;0;8;1;2018_K_per_valdistrikt.xlsx
2018;kf;14803022;Östra Göteborg, Utby;0;9;1;2018_K_per_valdistrikt.xlsx
2018;kf;14803023;Östra Göteborg, Utbynäs;0;13;0;2018_K_per_valdistrikt.xlsx
2018;kf;14803031;Östra Göteborg, Förstamajgatan m fl;2;3;0;2018_K_per_valdistrikt.xlsx
2018;kf;14803032;Östra Göteborg, Gregorianska g. m fl;0;5;1;2018_K_per_valdistrikt.xlsx
2018;kf;14803033;Östra Göteborg, Kortedala Centrum;0;7;0;2018_K_per_valdistrikt.xlsx
2018;kf;14803034;Östra Göteborg, Kortedala, Södra;0;6;0;2018_K_per_valdistrikt.xlsx
2018;kf;14803035;Östra Göteborg, Kortedala, Västra;3;12;0;2018_K_per_valdistrikt.xlsx
2018;kf;14803036;Östra Göteborg, Kortedala, Östra;4;6;2;2018_K_per_valdistrikt.xlsx
2018;kf;14803041;Östra Göteborg, Adventsparken, V;0;11;2;2018_K_per_valdistrikt.xlsx
2018;kf;14803042;Östra Göteborg, Adventsparken, Ö;1;6;1;2018_K_per_valdistrikt.xlsx
2018;kf;14803043;Östra Göteborg, Kortedala, Norra;0;13;1;2018_K_per_valdistrikt.xlsx
2018;kf;14803044;Östra Göteborg, Månadsgatorna m fl;0;8;4;2018_K_per_valdistrikt.xlsx
2018;kf;14803051;Östra Göteborg, Bergsjön, Norra;3;10;0;2018_K_per_valdistrikt.xlsx
2018;kf;14803052;Östra Göteborg, Gärdsmosse;0;5;0;2018_K_per_valdistrikt.xlsx
2018;kf;14803053;Östra Göteborg, Gärdsås;0;7;1;2018_K_per_valdistrikt.xlsx
2018;kf;14803054;Östra Göteborg, Siriusgatan;1;4;5;2018_K_per_valdistrikt.xlsx
2018;kf;14803061;Östra Göteborg, Bergsjön, Södra;0;1;0;2018_K_per_valdistrikt.xlsx
2018;kf;14803062;Östra Göteborg, Bergsjön, Östra;2;2;0;2018_K_per_valdistrikt.xlsx
2018;kf;14803063;Östra Göteborg, Komettorget;2;5;1;2018_K_per_valdistrikt.xlsx
2018;kf;14803064;Östra Göteborg, Rymdtorget;0;6;0;2018_K_per_valdistrikt.xlsx
2018;kf;14804021;Lundby, Bjurslätt, Södra;2;7;2;2018_K_per_valdistrikt.xlsx
2018;kf;14804022;Lundby, Flunsås;2;13;0;2018_K_per_valdistrikt.xlsx
2018;kf;14804023;Lundby, Kvillebäcken, Norra;2;20;2;2018_K_per_valdistrikt.xlsx
2018;kf;14804024;Lundby, Kvillebäcken, Södra;2;12;2;2018_K_per_valdistrikt.xlsx
2018;kf;14804025;Lundby, Kvillebäcken, Östra;0;11;0;2018_K_per_valdistrikt.xlsx
2018;kf;14804026;Lundby, Penselgatan m fl;1;12;0;2018_K_per_valdistrikt.xlsx
2018;kf;14804027;Lundby, Wieselgrensplatsen;3;18;2;2018_K_per_valdistrikt.xlsx
2018;kf;14804028;Lundby, Vågmästarplatsen;1;2;0;2018_K_per_valdistrikt.xlsx
2018;kf;14804031;Lundby, Bjurslätt, Norra;2;11;1;2018_K_per_valdistrikt.xlsx
2018;kf;14804032;Lundby, Hilldedal;1;10;2;2018_K_per_valdistrikt.xlsx
2018;kf;14804033;Lundby, Slätta Damm;0;6;2;2018_K_per_valdistrikt.xlsx
2018;kf;14804041;Lundby, Kärrdalen;0;8;3;2018_K_per_valdistrikt.xlsx
2018;kf;14804042;Lundby, Tolered, Norra;1;2;1;2018_K_per_valdistrikt.xlsx
2018;kf;14804043;Lundby, Tolered, Södra;1;5;0;2018_K_per_valdistrikt.xlsx
2018;kf;14804051;Norra Hisingen, Glöstorp;3;17;0;2018_K_per_valdistrikt.xlsx
