ar;val;kod;namn;kon;medborgarskap;aldersgrupp;antal
2014;rd;14801021;Majorna-Linné, Sandarne;Kvinnor;Ej svenska medborgare;65-;0
2014;rd;14801031;Majorna-Linné, Godhem;Män;Svenska medborgare;18-29 förstagångsväljare;25
2014;rd;14801031;Majorna-Linné, Godhem;Kvinnor;Svenska medborgare;18-29 förstagångsväljare;24
2014;rd;14801031;Majorna-Linné, Godhem;Män;Ej svenska medborgare;18-29 förstagångsväljare;0
2014;rd;14801031;Majorna-Linné, Godhem;Kvinnor;Ej svenska medborgare;18-29 förstagångsväljare;0
2014;rd;14801031;Majorna-Linné, Godhem;Män;Svenska medborgare;18-29 ej förstagångsväljare;91
2014;rd;14801031;Majorna-Linné, Godhem;Kvinnor;Svenska medborgare;18-29 ej förstagångsväljare;118
2014;rd;14801031;Majorna-Linné, Godhem;Män;Ej svenska medborgare;18-29 ej förstagångsväljare;0
2014;rd;14801031;Majorna-Linné, Godhem;Kvinnor;Ej svenska medborgare;18-29 ej förstagångsväljare;0
2014;rd;14801031;Majorna-Linné, Godhem;Män;Svenska medborgare;30-49;251
2014;rd;14801031;Majorna-Linné, Godhem;Kvinnor;Svenska medborgare;30-49;289
2014;rd;14801031;Majorna-Linné, Godhem;Män;Ej svenska medborgare;30-49;0
2014;rd;14801031;Majorna-Linné, Godhem;Kvinnor;Ej svenska medborgare;30-49;0
2014;rd;14801031;Majorna-Linné, Godhem;Män;Svenska medborgare;50-64;128
2014;rd;14801031;Majorna-Linné, Godhem;Kvinnor;Svenska medborgare;50-64;103
2014;rd;14801031;Majorna-Linné, Godhem;Män;Ej svenska medborgare;50-64;0
2014;rd;14801031;Majorna-Linné, Godhem;Kvinnor;Ej svenska medborgare;50-64;0
2014;rd;14801031;Majorna-Linné, Godhem;Män;Svenska medborgare;65-;68
2014;rd;14801031;Majorna-Linné, Godhem;Kvinnor;Svenska medborgare;65-;72
2014;rd;14801031;Majorna-Linné, Godhem;Män;Ej svenska medborgare;65-;0
