kod_2010;namn_2010;kod_2022;namn_2022;overlapp_m2;andel_av_2010;andel_av_2022
14800314;Kortedala, Bellevue;14800221;Östra Göteborg, Gamlestaden Södra;3786.3;0.0127;0.0158
14800314;Kortedala, Bellevue;14800223;Östra Göteborg, Kviberg Västra;29.7;0.0001;0.0000
14800314;Kortedala, Bellevue;14800301;Östra Centrum, Fräntorp;5.6;0.0000;0.0000
14800314;Kortedala, Bellevue;14800222;Östra Göteborg, Nylöse;5.2;0.0000;0.0000
14800321;Kortedala, Utbynäs;14800213;Östra Göteborg, Utbynäs;513644.9;0.8218;0.4853
14800321;Kortedala, Utbynäs;14800214;Östra Göteborg, Utby;87727.5;0.1404;0.1825
14800321;Kortedala, Utbynäs;14800215;Östra Göteborg, Kamgatan m fl;21350.6;0.0342;0.0643
14800321;Kortedala, Utbynäs;14800217;Östra Göteborg, Kvibergsnäs;1940.4;0.0031;0.0075
14800321;Kortedala, Utbynäs;14800216;Östra Göteborg, Kviberg Östra;40.4;0.0001;0.0000
14800321;Kortedala, Utbynäs;14800212;Östra Göteborg, Fjällbo;9.5;0.0000;0.0000
14800321;Kortedala, Utbynäs;14800301;Östra Centrum, Fräntorp;2.9;0.0000;0.0000
14800322;Kortedala, Utby;14800215;Östra Göteborg, Kamgatan m fl;308105.8;0.5728;0.9277
14800322;Kortedala, Utby;14800214;Östra Göteborg, Utby;229293.9;0.4263;0.4771
14800322;Kortedala, Utby;14800213;Östra Göteborg, Utbynäs;461.0;0.0009;0.0004
14800322;Kortedala, Utby;14800208;Östra Göteborg, Gärdsås;23.1;0.0000;0.0000
14800322;Kortedala, Utby;14800209;Östra Göteborg, Bergsjön Södra;20.7;0.0000;0.0000
14800322;Kortedala, Utby;14800216;Östra Göteborg, Kviberg Östra;6.1;0.0000;0.0000
14800323;Kortedala, Fjällbo;14800213;Östra Göteborg, Utbynäs;544293.9;0.4797;0.5142
